N.ordine;Larghezza (w);Altezza (h);PESO (p);due date;retinatura r;Spessore;Nome ordine
1;62;109;1;6;6.94E+00;1.14;85ozKFC
2;62;109;1;6;8.33E+00;1.14;85ozKFC
3;62;109;1;6;4.44E+00;1.14;85ozKFC
4;62;109;1;6;8.33E+00;1.14;85ozKFC
5;62;109;1;6;8.33E+00;1.14;85ozKFC
6;62;109;1;6;3.89E+00;1.14;85ozKFC
7;41;68;0.5;3;8.33E+00;1.7;pasqualini
8;41;68;0.5;3;5.56E+00;1.7;pasqualini
9;41;68;1;3;6.94E+00;1.7;ricos 9oz
10;48;78;1;3;6.94E+00;1.7;tostinicaffe
11;48;78;1;3;6.94E+00;1.7;tostinicaffe
12;48;78;1;3;5.56E+00;1.7;tostinicaffe
13;48;78;1;3;5.56E+00;1.7;tostinicaffe
14;12;50;0.75;8;5.56E+00;2.84;frontevisone
15;23;50;0.75;8;6.94E+00;2.84;frontevisone
16;20;50;0.75;8;5.56E+00;2.84;frontevisone
17;27;50;0.75;8;4.44E+00;2.84;frontevisone
18;20;40;0.75;8;3.89E+00;2.84;frontevisone
19;17;40;0.75;8;5.56E+00;2.84;frontevisone
20;24;40;0.75;8;5.56E+00;2.84;frontevisone
21;10;40;0.75;8;4.44E+00;2.84;frontevisone
22;10;35;0.75;8;4.44E+00;2.84;frontevisone
23;22;35;0.75;8;5.56E+00;2.84;frontevisone
24;19;35;0.75;6;3.89E+00;2.84;frontevisone
25;16;35;0.75;6;5.56E+00;2.84;frontevisone
26;19;50;0.75;6;5.56E+00;2.84;retrovisone
27;16;40;0.75;6;8.33E+00;2.84;retrovisone
28;15;35;0.75;6;8.33E+00;2.84;retrovisone
29;29;27;0.75;6;6.94E+00;2.84;loschiavo
30;6;9;0.75;6;6.94E+00;2.84;polloesfizi
31;10;16;0.75;6;5.56E+00;2.84;macelleriademena
32;21;29;0.75;6;3.89E+00;2.84;yamahashop
33;8;29;0.75;6;8.33E+00;2.84;yamahashop
34;28;75;0.75;6;8.33E+00;2.84;mulino d'oro
35;28;75;0.75;6;8.33E+00;2.84;mulino d'oro
36;7;15;0.75;6;4.44E+00;2.84;opera
37;30;19;0.75;6;8.33E+00;2.84;lavalle
38;20;17;0.75;6;5.56E+00;2.84;salumeria lagenuina
